epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,4.591172267341614,4.632051896476746,0.03675,4.200797414398194,0.071,919.137167799985
2,4.16046882019043,4.252224599647522,0.0729,4.042179438018799,0.0931,902.293835000135
3,4.0128154794693,4.130469389915467,0.093175,3.924854215621948,0.1147,916.5039671000559
4,3.908268042755127,4.044367475318909,0.1083,3.8473716495513917,0.1228,1260.6850009998307
5,3.8315972400665284,3.981412678527832,0.1211,3.8212402786254884,0.1298,1514.9652383001521
6,3.7442318349838257,3.9076664039611817,0.133925,3.7053704433441164,0.1465,1759.032096099807
7,3.6540883836746216,3.832338939476013,0.1492,3.605938591384888,0.1632,1880.4002284000162
8,3.5584442350387575,3.751986671257019,0.1652,3.5515100269317625,0.1735,1856.1786259999499
9,3.465925680541992,3.6739362367630006,0.1793,3.4541016860961915,0.1918,1868.5070175
10,3.376492919921875,3.598321359062195,0.19705,3.430225096511841,0.198,1787.878091499908
11,3.280674524688721,3.517553988456726,0.212525,3.344543140411377,0.2153,1211.381189599866
12,3.1892713356018065,3.439788715171814,0.228325,3.3031805652618407,0.22,1317.5021442000289
13,3.102630554962158,3.3667535459518434,0.24715,3.247731386566162,0.2271,1437.7440126999281
14,3.0064457084655762,3.2842781784057618,0.26655,3.1842812732696535,0.2448,849.3581493000966
15,2.9226389375686646,3.213949264717102,0.2857,3.145866731262207,0.2519,800.3163278000429
16,2.841477205467224,3.1447129808425904,0.299375,3.102940920639038,0.2573,835.2429588001687
17,2.7651911214828493,3.0795083055496217,0.317725,3.079862734222412,0.2665,968.8493550999556
18,2.7116665824890136,3.0334789796829225,0.32775,3.066373105621338,0.2723,1030.1318461999763
19,2.6738397252082824,3.001505348968506,0.336275,3.065193054962158,0.2713,2030.6783525999635
20,2.645903685760498,2.976966628265381,0.342125,3.054992156600952,0.2734,2161.2601089000236
