epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,epoch_seconds
1,4.598051961135864,4.63616266708374,0.03605,4.2153534355163575,0.0695,682.9507158999331
2,4.182375116539001,4.271143596458435,0.0714,4.0347666175842285,0.0969,830.3986357001122
3,4.026677710151672,4.142624195289612,0.092775,3.930347309875488,0.1159,829.9686064999551
4,3.933512385559082,4.066044451713562,0.10635,3.888270301437378,0.1138,826.8698814997915
5,3.8669813270568847,4.011031150054932,0.114675,3.831280665206909,0.1295,813.2280383000616
6,3.7949163368225096,3.949495946311951,0.1241,3.7305248039245607,0.1432,832.1683823999483
7,3.714082673835754,3.8817205070495606,0.139475,3.6698865489959718,0.1547,836.6708346998785
8,3.626555134010315,3.807890226173401,0.151525,3.6350025897979736,0.1606,826.3439876001794
9,3.5434626522064208,3.7376898710250854,0.167125,3.5255524532318114,0.1796,841.8309886001516
10,3.466122260093689,3.672700820541382,0.180525,3.4868984985351563,0.1845,863.1976501999889
11,3.3786238550186156,3.598728703689575,0.19575,3.423349908065796,0.1939,820.2299818000756
12,3.2972689657211305,3.5298553018569945,0.210375,3.371643182373047,0.207,881.9000021999236
