epoch,train_loss,train_objective,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_training_time_seconds,epoch_validation_time_seconds
1,4.7148275390625,4.744804262542725,0.0283,4.319914672851563,0.0581,0.038728177719506,548.1780050999951,315.5760298999958
2,4.271253137207031,4.34492908668518,0.0569,4.180550363922119,0.0722,0.04539713321096978,733.9363832999952,174.2724648998119
3,4.133176770401001,4.230955096817016,0.07615,4.0772509735107425,0.0884,0.06125062603550042,292.3804454000201,134.76061429991387
4,4.048472057723999,4.1612067329406734,0.0861,4.001594176101684,0.0981,0.07175675560063541,271.77328470000066,178.6397067999933
5,3.982087916946411,4.107736870956421,0.0957,3.974626559829712,0.1004,0.07805393565430702,270.7491033000406,109.516102100024
6,3.912398462295532,4.048850982284546,0.10725,3.877223937988281,0.1167,0.09209968803614237,258.2626563999802,179.46422029985115
7,3.837039470291138,3.98588025932312,0.1169,3.887662923049927,0.115,0.09429830706803477,265.48226210009307,127.01556490012445
8,3.7825575256347657,3.9396941944122315,0.1226,3.789892399597168,0.1312,0.11681819584771173,253.6864356000442,208.4613345998805
9,3.7040244606018065,3.8741450374603272,0.1391,3.7384075160980226,0.1402,0.11972578649637768,255.91196440020576,109.16020580008626
10,3.6438578254699707,3.8233780059814455,0.14555,3.708774610900879,0.1455,0.12702599592700442,254.06402450008318,203.79253749991767
11,3.5575564304351808,3.7514153423309327,0.1641,3.6372896118164064,0.1649,0.1448811847769043,250.2599082000088,105.37874529999681
12,3.468984913635254,3.6770996532440186,0.17975,3.6057087169647217,0.1688,0.15072426254345017,253.22378650004975,207.7777433998417
13,3.394168424606323,3.6136379093170166,0.18955,3.562039764022827,0.1789,0.16188783208370056,255.7913482999429,115.66419590008445
14,3.3059621101379393,3.538758097457886,0.2087,3.5311481494903565,0.1791,0.16138624600056709,265.4253825999331,206.53829709999263
15,3.2259603462219237,3.471164178466797,0.22085,3.4972808906555177,0.1871,0.16880436514507577,255.6046835000161,109.35400759987533
16,3.1412512554168703,3.3987998668670656,0.2399,3.4694158016204835,0.1939,0.1766206376642159,251.05408909986727,205.1373026999645
17,3.080463243484497,3.3470019653320313,0.252,3.4459260303497317,0.2017,0.18641002005858964,250.28490149998106,120.1279001000803
18,3.028509168243408,3.3028676429748534,0.26085,3.437163857650757,0.201,0.18531906193115094,261.2330485000275,210.1997225000523
19,2.9860152141571046,3.266320072555542,0.2717,3.428689211654663,0.2026,0.18766338004278546,263.0264679000247,107.69100710004568
20,2.968392628097534,3.251330339050293,0.2752,3.4275320899963377,0.2009,0.18569863138662876,253.38619719981216,208.0699788001366
