class_index,class_name,training_samples,nonuniform_weight
0,n01532829,104,1.0
1,n01558993,121,1.0141014742071979
2,n01704323,115,1.1996605640397648
3,n01749939,193,1.8778618213234126
4,n01770081,238,2.627952854518552
5,n01843383,171,1.7025259259610266
6,n01855672,248,2.9809198306197047
7,n01910747,213,2.1905803468850578
8,n01930112,161,1.5653276248406942
9,n01981276,160,1.4391854689122068
10,n02074367,187,2.1004625602631894
11,n02089867,165,1.5874010519681996
12,n02091244,208,2.3494502720962185
13,n02091831,157,1.5220973211609652
14,n02099601,274,3.197108436175503
15,n02101006,274,3.3342764777816045
16,n02105505,241,2.4502505730894093
17,n02108089,259,3.0229551947249127
18,n02108551,260,3.1088125635418384
19,n02108915,159,1.3048087698820185
20,n02110063,130,1.1829788187396464
21,n02110341,146,1.3799791452632486
22,n02111277,117,1.0576102622210508
23,n02113712,162,1.8006088909937787
24,n02114548,232,2.382580984509277
25,n02116738,295,3.7821115612094554
26,n02120079,151,1.3994388855866493
27,n02129165,177,1.9043424413614862
28,n02138441,204,1.9311964771800174
29,n02165456,299,3.626520133970626
30,n02174001,292,3.835444909838595
31,n02219486,168,1.6097857469590078
32,n02443484,289,4.0
33,n02457408,271,3.152651403721636
34,n02606052,267,2.939468984551198
35,n02687172,136,1.1665290395761165
36,n02747177,145,1.3418676875883773
37,n02795169,154,1.4800609267476315
38,n02823428,215,2.484802718347001
39,n02871525,176,1.7265340513930516
40,n02950826,142,1.3232084970958353
41,n02966193,240,2.665010863914277
42,n02971356,228,2.5553755881661426
43,n02981792,166,1.851749424574581
44,n03017168,205,1.9584291944920027
45,n03047690,298,3.889530337307812
46,n03062245,227,2.2845645273285835
47,n03075370,163,1.6788516428220595
48,n03127925,228,2.5914101511123704
49,n03146219,128,1.0429037814463955
50,n03207743,224,2.4161788888088944
51,n03220513,143,1.360790000174377
52,n03272010,136,1.2337330834345672
53,n03337140,141,1.2511305386891867
54,n03347037,233,2.8185428386063283
55,n03400231,228,2.7407019694402472
56,n03417042,203,2.042453212630728
57,n03476684,263,2.7025914458736664
58,n03527444,204,2.160119477784612
59,n03535780,212,2.014052108766998
60,n03544143,143,1.4594801056814461
61,n03584254,130,1.102985741766848
62,n03676483,221,2.2214707591454514
63,n03770439,148,1.419173036936299
64,n03773504,137,1.2687733237103496
65,n03775546,172,1.6555065597696215
66,n03838899,263,3.526365019984085
67,n03854065,124,1.0284017999892119
68,n03888605,288,3.677659414101696
69,n03908618,274,3.381294691532708
70,n03924679,175,1.6324860991488648
71,n03980874,123,1.0725241260550287
72,n03998194,238,2.898594528569451
73,n04067472,126,1.1185394667552802
74,n04146614,277,3.477329547066204
75,n04149813,213,2.5198420997897464
76,n04243546,171,1.5435611372761615
77,n04251144,213,2.0712548139280487
78,n04258138,155,1.5009319677312445
79,n04275548,148,1.286664898009432
80,n04296562,265,3.242192378325846
81,n04389033,310,3.944378449037471
82,n04418357,259,3.287912070523582
83,n04435653,183,1.7755707261952807
84,n04443257,134,1.2165775465409638
85,n04509417,126,1.1343125221954626
86,n04515003,203,2.2527967717575854
87,n04522168,258,2.858288447746818
88,n04596742,276,3.576091965358555
89,n04604644,218,2.1300821788799253
90,n04612504,193,1.9860459332647549
91,n06794110,180,1.7508807267866193
92,n07584110,270,3.4289759314122916
93,n07613480,212,2.3167802550853867
94,n07697537,195,1.8260001308273788
95,n07747607,244,2.779349907571925
96,n09246464,114,1.0876482973551913
97,n09256479,138,1.1503080009701034
98,n13054560,285,3.72951983347251
99,n13133613,252,3.0655833194328403
