class_index,class_name,training_samples,nonuniform_weight
0,n01532829,200,
1,n01558993,200,
2,n01704323,200,
3,n01749939,200,
4,n01770081,200,
5,n01843383,200,
6,n01855672,200,
7,n01910747,200,
8,n01930112,200,
9,n01981276,200,
10,n02074367,200,
11,n02089867,200,
12,n02091244,200,
13,n02091831,200,
14,n02099601,200,
15,n02101006,200,
16,n02105505,200,
17,n02108089,200,
18,n02108551,200,
19,n02108915,200,
20,n02110063,200,
21,n02110341,200,
22,n02111277,200,
23,n02113712,200,
24,n02114548,200,
25,n02116738,200,
26,n02120079,200,
27,n02129165,200,
28,n02138441,200,
29,n02165456,200,
30,n02174001,200,
31,n02219486,200,
32,n02443484,200,
33,n02457408,200,
34,n02606052,200,
35,n02687172,200,
36,n02747177,200,
37,n02795169,200,
38,n02823428,200,
39,n02871525,200,
40,n02950826,200,
41,n02966193,200,
42,n02971356,200,
43,n02981792,200,
44,n03017168,200,
45,n03047690,200,
46,n03062245,200,
47,n03075370,200,
48,n03127925,200,
49,n03146219,200,
50,n03207743,200,
51,n03220513,200,
52,n03272010,200,
53,n03337140,200,
54,n03347037,200,
55,n03400231,200,
56,n03417042,200,
57,n03476684,200,
58,n03527444,200,
59,n03535780,200,
60,n03544143,200,
61,n03584254,200,
62,n03676483,200,
63,n03770439,200,
64,n03773504,200,
65,n03775546,200,
66,n03838899,200,
67,n03854065,200,
68,n03888605,200,
69,n03908618,200,
70,n03924679,200,
71,n03980874,200,
72,n03998194,200,
73,n04067472,200,
74,n04146614,200,
75,n04149813,200,
76,n04243546,200,
77,n04251144,200,
78,n04258138,200,
79,n04275548,200,
80,n04296562,200,
81,n04389033,200,
82,n04418357,200,
83,n04435653,200,
84,n04443257,200,
85,n04509417,200,
86,n04515003,200,
87,n04522168,200,
88,n04596742,200,
89,n04604644,200,
90,n04612504,200,
91,n06794110,200,
92,n07584110,200,
93,n07613480,200,
94,n07697537,200,
95,n07747607,200,
96,n09246464,200,
97,n09256479,200,
98,n13054560,200,
99,n13133613,200,
